"","FacName","CDName","FacAddress","Borough","ZipCode","Lon","Lat","FT_Decode"
"626","THOMAS C GIORDANO MS 45","BRONX COMMUNITY DISTRICT 6","2502 Lorillard Pl","BX",10458,-73.88700105,"40.85837258","Middle School - Public"
"627","PS 46 EDGAR ALLEN POE","BRONX COMMUNITY DISTRICT 7","279 E 196 St","BX",10458,-73.89040278,"40.86716439","Elementary School - Public"
"628","PS 51 BRONX NEW SCHOOL","BRONX COMMUNITY DISTRICT 6","695 E 182 St","BX",10457,-73.88662352,"40.85081055","Elementary School - Public"
"629","PS 54 FORDHAM BEDFORD ACADEMY","BRONX COMMUNITY DISTRICT 7","2703 Webster Ave","BX",10458,-73.88795893,"40.86487845","Elementary School - Public"
"630","PS 56 NORWOOD HEIGHTS","BRONX COMMUNITY DISTRICT 7","341 E 207 St","BX",10467,-73.87490913,"40.87546232","Elementary School - Public"
"631","PS 59 THE COMM SCHOOL OF TECHNOLOGY","BRONX COMMUNITY DISTRICT 6","2185 Bathgate Ave","BX",10457,-73.89364663,"40.85314749","Elementary School - Public"
"632","JHS 80 THE MOSHOLU PARKWAY","BRONX COMMUNITY DISTRICT 7","149 E Mosholu Pkwy N","BX",10467,-73.8812237,"40.87687976","Middle School - Public"
"633","PS 81 ROBERT J CHRISTEN","BRONX COMMUNITY DISTRICT 8","5550 Riverdale Ave","BX",10471,-73.90463949,"40.90330811","Elementary School - Public"
"634","PS 85 GREAT EXPECTATIONS","BRONX COMMUNITY DISTRICT 5","2400 Marion Ave","BX",10458,-73.89466446,"40.85867626","Elementary School - Public"
"635","PS 86 KINGSBRIDGE HEIGHTS","BRONX COMMUNITY DISTRICT 7","2756 Reservoir Ave","BX",10468,-73.89627735,"40.86989805","Elementary School - Public"
"636","PS 91 BRONX","BRONX COMMUNITY DISTRICT 5","2200 Aqueduct Ave","BX",10453,-73.90769813,"40.85768286","Elementary School - Public"
"637","PS 94 KINGS COLLEGE SCHOOL","BRONX COMMUNITY DISTRICT 7","3530 Kings College Pl","BX",10467,-73.87515904,"40.88102334","Elementary School - Public"
"638","PS 95 SHEILA MENCHER","BRONX COMMUNITY DISTRICT 8","3961 Hillman Ave","BX",10463,-73.89166403,"40.88304913","Elementary School - Public"
"639","JHS 118 WILLIAM W NILES","BRONX COMMUNITY DISTRICT 6","577 E 179 St","BX",10457,-73.89249344,"40.8487247","Middle School - Public"
"640","PS 159 LUIS MUNOZ MARIN BILING","BRONX COMMUNITY DISTRICT 6","2315 Washington Ave","BX",10458,-73.89314737,"40.85566118","Elementary School - Public"
"641","PS 205 FIORELLO LAGUARDIA","BRONX COMMUNITY DISTRICT 6","2475 Southern Blvd","BX",10458,-73.88140624,"40.85563324","Elementary School - Public"
"642","IS 206 ANN MERSEREAU","BRONX COMMUNITY DISTRICT 7","2280 Aqueduct Ave","BX",10468,-73.90628567,"40.85953165","Middle School - Public"
"643","PS 207","BRONX COMMUNITY DISTRICT 8","3030 Godwin Ter","BX",10463,-73.90617604,"40.87830254","Elementary School - Public"
"644","PS 209","BRONX COMMUNITY DISTRICT 5","313 E 183 St","BX",10458,-73.897404,"40.85677116","Elementary School - Public"
"645","THEATRE ARTS PROD COMPANY SCHOOL","BRONX COMMUNITY DISTRICT 5","2225 Webster Ave","BX",10457,-73.89736069,"40.85438597","Junior/Senior High School - Public"
"646","PS 226","BRONX COMMUNITY DISTRICT 5","1950 Sedgwick Ave","BX",10453,-73.91609106,"40.85569387","Elementary School - Public"
"647","JONAS BRONCK ACADEMY","BRONX COMMUNITY DISTRICT 6","400 E Fordham Rd","BX",10458,-73.89150466,"40.86104201","Middle School - Public"
"648","NEW SCHOOL-LEADERSHIP & JOURNAL","BRONX COMMUNITY DISTRICT 8","120 W 231 St","BX",10463,-73.90160212,"40.87553483","Middle School - Public"
"649","PS 246 POE CENTER","BRONX COMMUNITY DISTRICT 7","2641 Grand Concourse","BX",10468,-73.89530009,"40.86596402","Elementary School - Public"
"650","IS 254","BRONX COMMUNITY DISTRICT 6","2452 Washington Ave","BX",10458,-73.88988162,"40.8587459","Middle School - Public"
"651","PS 279 CAPT MANUEL RIVERA JR","BRONX COMMUNITY DISTRICT 5","2100 Walton Ave","BX",10453,-73.90490809,"40.85463123","Elementary School - Public"
"652","PS/MS 280 MOSHOLU PARKWAY","BRONX COMMUNITY DISTRICT 7","3202 Steuben Ave","BX",10467,-73.8812237,"40.87687976","Elementary School - Public"
"653","PS 291","BRONX COMMUNITY DISTRICT 7","2195 Andrews Ave","BX",10453,-73.9098542,"40.85921885","Elementary School - Public"
"654","PS 306","BRONX COMMUNITY DISTRICT 5","40 W Tremont Ave","BX",10453,-73.91098208,"40.85114207","Elementary School - Public"
"655","LPF SCHOOL OF SCIENCE AND DISCOVERY","BRONX COMMUNITY DISTRICT 8","124 Eames Pl","BX",10468,-73.90182129,"40.86913987","Elementary School - Public"
"656","BRONX DANCE ACADEMY SCHOOL","BRONX COMMUNITY DISTRICT 7","3617 Bainbridge Ave","BX",10467,-73.87805121,"40.88542617","Middle School - Public"
"657","PS 310 MARBLE HILL","BRONX COMMUNITY DISTRICT 7","260 W Kingsbridge Rd","BX",10463,-73.90557341,"40.87232136","Elementary School - Public"
"658","PS 315 LAB SCHOOL","BRONX COMMUNITY DISTRICT 5","2246 Jerome Ave","BX",10453,-73.90376826,"40.85793216","Elementary School - Public"
"659","BRONX SCHOOL OF YOUNG LEADERS (THE)","BRONX COMMUNITY DISTRICT 1","468 E 140 St","BX",10454,-73.91977664,"40.80908028","Middle School - Public"
"660","PS 340","BRONX COMMUNITY DISTRICT 7","25 W 195 St","BX",10468,-73.89717119,"40.8694048","Elementary School - Public"
"661","AMPARK NEIGHBORHOOD","BRONX COMMUNITY DISTRICT 8","3961 Hillman Ave","BX",10463,-73.89166403,"40.88304913","Elementary School - Public"
"662","PS 360","BRONX COMMUNITY DISTRICT 8","2880 Kingsbridge Ter","BX",10463,-73.90221443,"40.87471468","Elementary School - Public"
"663","ACAD-PERSONAL LDSHP AND EXCELLENCE","BRONX COMMUNITY DISTRICT 5","120 E 184 St","BX",10468,-73.90049433,"40.85949661","Middle School - Public"
"664","IN-TECH ACADEMY (MS/HS 368)","BRONX COMMUNITY DISTRICT 8","2975 Tibbett Ave","BX",10463,-73.91570254,"40.87702538","Junior/Senior High School - Public"
"665","ELEM SCHOOL FOR MATH, SCIENCE, TECH","BRONX COMMUNITY DISTRICT 5","125 E 181 St","BX",10453,-73.9031539,"40.85531595","Elementary School - Public"
"666","SCHOOL FOR ENVIRONMENTAL CITIZENSHIP","BRONX COMMUNITY DISTRICT 5","125 E 181 St","BX",10453,-73.9031539,"40.85531595","Elementary School - Public"
"667","MS 390","BRONX COMMUNITY DISTRICT 5","1930 Andrews Ave","BX",10453,-73.91300945,"40.85424788","Middle School - Public"
"668","ANGELO PATRI MIDDLE SCHOOL (THE)","BRONX COMMUNITY DISTRICT 5","2225 Webster Ave","BX",10457,-73.89736069,"40.85438597","Middle School - Public"
"669","PS 396","BRONX COMMUNITY DISTRICT 5","1930 Andrews Ave","BX",10453,-73.91300945,"40.85424788","Elementary School - Public"
"670","CRESTON ACADEMY","BRONX COMMUNITY DISTRICT 5","125 E 181 St","BX",10453,-73.9031539,"40.85531595","Middle School - Public"
"671","RIVERDALE/KINGSBRIDGE (MS/HS 141)","BRONX COMMUNITY DISTRICT 8","660 W 237 St","BX",10463,-73.91372513,"40.8877282","Junior/Senior High School - Public"
"672","BRONX ENG & TECH ACADEMY","BRONX COMMUNITY DISTRICT 8","99 Terrace View Ave","MN",10463,-73.9129395,"40.87730877","High School - Public"
"673","MARIE CURIE HIGH SCHOOL-NURSING","BRONX COMMUNITY DISTRICT 8","120 W 231 St","BX",10463,-73.90160212,"40.87553483","High School - Public"
"674","WEST BRONX ACAD FOR THE FUTURE","BRONX COMMUNITY DISTRICT 6","500 E Fordham Rd","BX",10458,-73.88862599,"40.85946655","Junior/Senior High School - Public"
"675","BRONX ACAD FOR SOFTWARE ENGINEERING","BRONX COMMUNITY DISTRICT 6","2474 Crotona Ave","BX",10458,-73.88247331,"40.85525007","Other School - Public"
"676","KINGSBRIDGE INTNL HIGH SCHOOL","BRONX COMMUNITY DISTRICT 7","2780 Reservoir Ave","BX",10468,-73.89627735,"40.86989805","High School - Public"
"677","BRONX SCHOOL OF LAW & FINANCE","BRONX COMMUNITY DISTRICT 8","99 Terrace View Ave","MN",10463,-73.9129395,"40.87730877","High School - Public"
"678","PULSE HIGH SCHOOL","BRONX COMMUNITY DISTRICT 6","560 E 179 St","BX",10457,-73.89374823,"40.84837729","High School - Public"
"679","INTERNATIONAL SCHOOL FOR LIBERAL ART","BRONX COMMUNITY DISTRICT 7","2780 Reservoir Ave","BX",10468,-73.89627735,"40.86989805","Junior/Senior High School - Public"
"680","BRONX COLLABORATIVE HIGH SCHOOL","BRONX COMMUNITY DISTRICT 7","100 W Mosholu Pkwy S","BX",10468,-73.88894619,"40.87987642","Other School - Public"
"681","WORLD VIEW HIGH SCHOOL","BRONX COMMUNITY DISTRICT 7","100 W Mosholu Pkwy S","BX",10468,-73.88894619,"40.87987642","Other School - Public"
"682","KNOWLEDGE, POWER PREP ACAD INTER HS","BRONX COMMUNITY DISTRICT 6","500 E Fordham Rd","BX",10458,-73.88862599,"40.85946655","High School - Public"
"683","ENGLISH LANGUAGE LEARNERS-INTER SUPP","BRONX COMMUNITY DISTRICT 8","99 Terrace View Ave","MN",10463,-73.9129395,"40.87730877","High School - Public"
"684","HS FOR TEACHING AND PROFESSIONS","BRONX COMMUNITY DISTRICT 7","2780 Reservoir Ave","BX",10468,-73.89627735,"40.86989805","High School - Public"
"685","BELMONT PREPARATORY HIGH SCHOOL","BRONX COMMUNITY DISTRICT 6","500 E Fordham Rd","BX",10458,-73.88862599,"40.85946655","High School - Public"
"686","FORDHAM HIGH SCHOOL FOR THE ARTS","BRONX COMMUNITY DISTRICT 6","500 E Fordham Rd","BX",10458,-73.88862599,"40.85946655","High School - Public"
"687","FORDHAM LEADERSHIP-BUS/TECH","BRONX COMMUNITY DISTRICT 6","500 E Fordham Rd","BX",10458,-73.88862599,"40.85946655","High School - Public"
"688","BRONX HIGH SCHOOL-LAW & COMM SVC","BRONX COMMUNITY DISTRICT 6","500 E Fordham Rd","BX",10458,-73.88862599,"40.85946655","High School - Public"
"689","DEWITT CLINTON HIGH SCHOOL","BRONX COMMUNITY DISTRICT 7","100 W Mosholu Pkwy S","BX",10468,-73.88894619,"40.87987642","High School - Public"
"690","CELIA CRUZ BRONX HS OF MUSIC (THE)","BRONX COMMUNITY DISTRICT 7","2780 Reservoir Ave","BX",10468,-73.89627735,"40.86989805","High School - Public"
"691","BRONX HIGH SCHOOL OF SCIENCE","BRONX COMMUNITY DISTRICT 7","75 W 205 St","BX",10468,-73.88894619,"40.87987642","High School - Public"
"692","EAST FORDHAM ACADEMY-ARTS","BRONX COMMUNITY DISTRICT 5","120 E 184 St","BX",10468,-73.90049433,"40.85949661","Middle School - Public"
"693","JOHN F KENNEDY HIGH SCHOOL","BRONX COMMUNITY DISTRICT 8","99 Terrace View Ave","MN",10463,-73.9129395,"40.87730877","High School - Public"
"694","MARBLE HILL HS-INTRNTNL STUDIES","BRONX COMMUNITY DISTRICT 8","99 Terrace View Ave","MN",10463,-73.9129395,"40.87730877","High School - Public"
"695","CROTONA INTERNATIONAL HIGH SCHOOL","BRONX COMMUNITY DISTRICT 6","2474 Crotona Ave","BX",10458,-73.88247331,"40.85525007","High School - Public"
"696","BRONX THEATRE HIGH SCHOOL","BRONX COMMUNITY DISTRICT 8","99 Terrace View Ave","MN",10463,-73.9129395,"40.87730877","High School - Public"
"697","DISCOVERY HIGH SCHOOL","BRONX COMMUNITY DISTRICT 7","2780 Reservoir Ave","BX",10468,-73.89627735,"40.86989805","High School - Public"
"698","HIGH SCHOOL FOR ENERGY AND TECHNOLOG","BRONX COMMUNITY DISTRICT 6","2474 Crotona Ave","BX",10458,-73.88247331,"40.85525007","High School - Public"
"699","GRACE H DODGE CAREER AND TECH HS","BRONX COMMUNITY DISTRICT 6","2474 Crotona Ave","BX",10458,-73.88247331,"40.85525007","High School - Public"
"700","HS AMER STUDIES AT LEHMAN COLL","BRONX COMMUNITY DISTRICT 8","2925 Goulden Ave","BX",10468,-73.89517372,"40.87502689","High School - Public"
"701","NEW VISIONS CHARTER HS-HUMANITIES","BRONX COMMUNITY DISTRICT 8","99 Terrace View Ave","MN",10463,-73.9129395,"40.87730877","High School - Public Charter"
"702","INTERNATIONAL LEADERSHIP CHARTER SCH","BRONX COMMUNITY DISTRICT 8","2900 Exterior St","BX",10463,-73.9053728,"40.87608692","High School - Public Charter"
"703","BRONX COMMUNITY CHARTER SCHOOL","BRONX COMMUNITY DISTRICT 7","3170 Webster Ave","BX",10467,-73.87472624,"40.87273389","Elementary School - Public Charter"
"704","NEW VISIONS CHARTER HS-ADV MATH/SCIE","BRONX COMMUNITY DISTRICT 8","99 Terrace View Ave","MN",10463,-73.9129395,"40.87730877","High School - Public Charter"
"705","TECH INTERNATIONAL CHARTER SCHOOL","BRONX COMMUNITY DISTRICT 8","3120 Corlear Ave","BX",10463,-73.90699718,"40.88069109","Intermediate/Junior High School - Public Charter"
"706","PS 16 WAKEFIELD","BRONX COMMUNITY DISTRICT 12","4550 Carpenter Ave","BX",10470,-73.85423561,"40.90230856","Elementary School - Public"
"707","PS 19 JUDITH K WEISS","BRONX COMMUNITY DISTRICT 12","4318 Katonah Ave","BX",10470,-73.86694957,"40.89935142","Elementary School - Public"
"708","PS 21 PHILIP H SHERIDAN","BRONX COMMUNITY DISTRICT 12","715 E 225 St","BX",10466,-73.85942095,"40.88788893","Elementary School - Public"
"709","PS 41 GUN HILL ROAD","BRONX COMMUNITY DISTRICT 12","3352 Olinville Ave","BX",10467,-73.86783408,"40.87475179","Elementary School - Public"
"710","PS 68","BRONX COMMUNITY DISTRICT 12","4011 Monticello Ave","BX",10466,-73.83888384,"40.8916031","Elementary School - Public"
"711","PS 76 THE BENNINGTON SCHOOL","BRONX COMMUNITY DISTRICT 11","900 Adee Ave","BX",10469,-73.86093232,"40.86905941","Elementary School - Public"
"712","PS 78 ANNE HUTCHINSON","BRONX COMMUNITY DISTRICT 12","1400 Needham Ave","BX",10469,-73.85056686,"40.87847174","Elementary School - Public"
"713","PS 83 DONALD HERTZ","BRONX COMMUNITY DISTRICT 11","950 Rhinelander Ave","BX",10462,-73.85876902,"40.8491769","Elementary School - Public"
"714","PS 87","BRONX COMMUNITY DISTRICT 12","1935 Bussing Ave","BX",10466,-73.84619113,"40.8957548","Elementary School - Public"
"715","PS 89","BRONX COMMUNITY DISTRICT 11","980 Mace Ave","BX",10469,-73.85925414,"40.86247833","Elementary School - Public"
"716","PS 96 RICHARD RODGERS","BRONX COMMUNITY DISTRICT 11","2126 Barnes Ave","BX",10462,-73.86349738,"40.85419992","Elementary School - Public"
"717","PS 97","BRONX COMMUNITY DISTRICT 11","1375 Mace Ave","BX",10469,-73.84677182,"40.86352463","Elementary School - Public"
"718","PS 103 HECTOR FONTANEZ","BRONX COMMUNITY DISTRICT 12","4125 Carpenter Ave","BX",10466,-73.86193643,"40.89219289","Elementary School - Public"
"719","PS 105 SEN ABRAHAM BERNSTEIN","BRONX COMMUNITY DISTRICT 11","725 Brady Ave","BX",10462,-73.86626497,"40.85307508","Elementary School - Public"
"720","PS 106 PARKCHESTER","BRONX COMMUNITY DISTRICT 9","2120 St Raymond's Ave","BX",10462,-73.85482688,"40.83697177","Elementary School - Public"
"721","PS 108 PHILIP J ABINANTI","BRONX COMMUNITY DISTRICT 11","1166 Neill Ave","BX",10461,-73.85273955,"40.85425805","Elementary School - Public"
"722","PS 111 SETON FALLS","BRONX COMMUNITY DISTRICT 12","3740 Baychester Ave","BX",10466,-73.83933156,"40.88444008","Elementary School - Public"
"723","PS 112 BRONXWOOD","BRONX COMMUNITY DISTRICT 12","1925 Schieffelin Ave","BX",10466,-73.84407903,"40.88484457","Elementary School - Public"
"724","PS 121 THROOP","BRONX COMMUNITY DISTRICT 11","2750 Throop Ave","BX",10469,-73.85051787,"40.86648833","Elementary School - Public"
"725","JHS 127 THE CASTLE HILL","BRONX COMMUNITY DISTRICT 9","1560 Purdy St","BX",10462,-73.85320392,"40.83875927","Middle School - Public"
"726","MS 142 JOHN PHILIP SOUSA","BRONX COMMUNITY DISTRICT 12","3750 Baychester Ave","BX",10466,-73.84005004,"40.88643922","Middle School - Public"
"727","JHS 144 MICHELANGELO","BRONX COMMUNITY DISTRICT 11","2545 Gunther Ave","BX",10469,-73.83653976,"40.86380427","Middle School - Public"
"728","PS 153 HELEN KELLER","BRONX COMMUNITY DISTRICT 10","650 Baychester Ave","BX",10475,-73.83194767,"40.87405736","Elementary School - Public"
"729","PS 160 WALT DISNEY","BRONX COMMUNITY DISTRICT 10","4140 Hutchinson River Pkwy","BX",10475,-73.82384202,"40.86405182","Elementary School - Public"
"730","BAYCHESTER ACADEMY","BRONX COMMUNITY DISTRICT 12","3500 Edson Ave","BX",10466,-73.83938967,"40.88134415","Elementary School - Public"
"731","PS 175 CITY ISLAND","BRONX COMMUNITY DISTRICT 10","200 City Island Ave","BX",10464,-73.78361653,"40.84436695","Elementary School - Public"
"732","PS 178 DR SELMAN WAKSMAN","BRONX COMMUNITY DISTRICT 10","850 Baychester Ave","BX",10475,-73.83194767,"40.87405736","Elementary School - Public"
"733","MS 180 DR DANIEL HALE WILLIAMS","BRONX COMMUNITY DISTRICT 10","700 Baychester Ave","BX",10475,-73.83194767,"40.87405736","Middle School - Public"
"734","IS 181 PABLO CASALS","BRONX COMMUNITY DISTRICT 10","800 Baychester Ave","BX",10475,-73.83194767,"40.87405736","Middle School - Public"
"735","CORNERSTONE ACAD FOR SOCIAL ACTION","BRONX COMMUNITY DISTRICT 12","3441 Steenwick Ave","BX",10475,-73.83101688,"40.88318761","Elementary School - Public"
"736","PS/MS 194","BRONX COMMUNITY DISTRICT 10","2365 Waterbury Ave","BX",10462,-73.84644639,"40.83536349","Elementary School - Public"
"737","FORWARD SCHOOL (THE)","BRONX COMMUNITY DISTRICT 12","3710 Barnes Ave","BX",10467,-73.86013058,"40.88064929","Middle School - Public"
"738","YOUNG SCHOLARS ACADEMY-BRONX","BRONX COMMUNITY DISTRICT 12","3710 Barnes Ave","BX",10467,-73.86013058,"40.88064929","Middle School - Public"
"739","ASPIRE PREPARATORY MIDDLE SCHOOL","BRONX COMMUNITY DISTRICT 11","2441 Wallace Ave","BX",10467,-73.86499932,"40.86221896","Middle School - Public"
"740","BRONX GREEN MIDDLE SCHOOL","BRONX COMMUNITY DISTRICT 11","2441 Wallace Ave","BX",10467,-73.86499932,"40.86221896","Middle School - Public"
"741","BRONX ALLIANCE MIDDLE SCHOOL","BRONX COMMUNITY DISTRICT 12","3750 Baychester Ave","BX",10466,-73.84005004,"40.88643922","Other School - Public"
"742","YOUNG VOICES ACADEMY-BRONX","BRONX COMMUNITY DISTRICT 11","800 Lydig Ave","BX",10462,-73.86349738,"40.85419992","Other School - Public"
"743","SCHOOL OF DIPLOMACY","BRONX COMMUNITY DISTRICT 12","3710 Barnes Ave","BX",10467,-73.86013058,"40.88064929","Middle School - Public"
"744","CORNERSTONE ACAD-SOCIAL ACTION-MS","BRONX COMMUNITY DISTRICT 12","3441 Steenwick Ave","BX",10475,-73.83101688,"40.88318761","Middle School - Public"
"745","PELHAM ACAD-ACADEMICS AND COMMUNITY","BRONX COMMUNITY DISTRICT 11","2441 Wallace Ave","BX",10467,-73.86499932,"40.86221896","Middle School - Public"
"746","PS/MS 498 VAN NEST ACADEMY","BRONX COMMUNITY DISTRICT 11","1640 Bronxdale Ave","BX",10462,-73.85799715,"40.84501772","Elementary School - Public"
"747","ONE WORLD MS AT EDENWALD","BRONX COMMUNITY DISTRICT 12","3750 Baychester Ave","BX",10466,-73.84005004,"40.88643922","Intermediate/Junior High School - Public"
"748","BAYCHESTER MIDDLE SCHOOL","BRONX COMMUNITY DISTRICT 12","3750 Baychester Ave","BX",10466,-73.84005004,"40.88643922","Intermediate/Junior High School - Public"
"749","BRONX PARK MIDDLE SCHOOL","BRONX COMMUNITY DISTRICT 11","2441 Wallace Ave","BX",10467,-73.86499932,"40.86221896","Intermediate/Junior High School - Public"
"750","PELHAM GARDENS MIDDLE SCHOOL","BRONX COMMUNITY DISTRICT 11","2545 Gunther Ave","BX",10469,-73.83653976,"40.86380427","Intermediate/Junior High School - Public"
"751","LINDEN TREE ELEMENTARY SCHOOL","BRONX COMMUNITY DISTRICT 9","1560 Purdy St","BX",10462,-73.85320392,"40.83875927","Elementary School - Public"
"752","BRONX HEALTH SCIENCES HIGH SCHOOL","BRONX COMMUNITY DISTRICT 10","750 Baychester Ave","BX",10475,-73.83194767,"40.87405736","High School - Public"
"753","BRONX HIGH SCH-WRITING & COMM ARTS","BRONX COMMUNITY DISTRICT 12","800 E Gun Hill Rd","BX",10467,-73.8617006,"40.87516454","High School - Public"
"754","BRONX LAB SCHOOL","BRONX COMMUNITY DISTRICT 12","800 E Gun Hill Rd","BX",10467,-73.8617006,"40.87516454","High School - Public"
"755","ACAD-SCHOLARSHIP & ENTREPRENEURSHIP","BRONX COMMUNITY DISTRICT 12","921 E 228 St","BX",10466,-73.8526824,"40.88821812","Junior/Senior High School - Public"
"756","GLOBE SCHOOL-ENVIRNM RESEARCH","BRONX COMMUNITY DISTRICT 12","3710 Barnes Ave","BX",10467,-73.86013058,"40.88064929","Middle School - Public"
"757","HIGH SCHOOL-COMPUTERS & TECHNOLOGY","BRONX COMMUNITY DISTRICT 12","800 E Gun Hill Rd","BX",10467,-73.8617006,"40.87516454","High School - Public"
"758","COLLEGIATE INST FOR MATH & SCI","BRONX COMMUNITY DISTRICT 11","925 Astor Ave","BX",10469,-73.86073704,"40.86044356","High School - Public"
"759","BRONX ACADEMY OF HEALTH CAREERS","BRONX COMMUNITY DISTRICT 12","800 E Gun Hill Rd","BX",10467,-73.8617006,"40.87516454","High School - Public"
"760","ASTOR COLLEGIATE ACADEMY","BRONX COMMUNITY DISTRICT 11","925 Astor Ave","BX",10469,-73.86073704,"40.86044356","High School - Public"
"761","CHRISTOPHER COLUMBUS HIGH SCHOOL","BRONX COMMUNITY DISTRICT 11","925 Astor Ave","BX",10469,-73.86073704,"40.86044356","High School - Public"
"762","BRONX HIGH SCHOOL FOR THE VISUAL ART","BRONX COMMUNITY DISTRICT 11","2040 Antin Pl","BX",10462,-73.86442809,"40.8515908","High School - Public"
"763","HARRY S TRUMAN HIGH SCHOOL","BRONX COMMUNITY DISTRICT 10","750 Baychester Ave","BX",10475,-73.83194767,"40.87405736","High School - Public"
"764","BRONXDALE HIGH SCHOOL","BRONX COMMUNITY DISTRICT 11","925 Astor Ave","BX",10469,-73.86073704,"40.86044356","High School - Public"
"765","HIGH SCHOOL FOR LAN-INNO","BRONX COMMUNITY DISTRICT 11","925 Astor Ave","BX",10469,-73.86073704,"40.86044356","High School - Public"
"766","NEW WORLD HIGH SCHOOL","BRONX COMMUNITY DISTRICT 12","921 E 228 St","BX",10466,-73.8526824,"40.88821812","High School - Public"
"767","BRONXWOOD PREP ACADEMY (THE)","BRONX COMMUNITY DISTRICT 12","921 E 228 St","BX",10466,-73.8526824,"40.88821812","High School - Public"
"768","GLOBAL ENTERPRISE HIGH SCHOOL","BRONX COMMUNITY DISTRICT 11","925 Astor Ave","BX",10469,-73.86073704,"40.86044356","High School - Public"
"769","PELHAM PREPARATORY ACADEMY","BRONX COMMUNITY DISTRICT 11","925 Astor Ave","BX",10469,-73.86073704,"40.86044356","High School - Public"
"770","HIGH SCHOOL OF CONTEMPORARY ARTS","BRONX COMMUNITY DISTRICT 12","800 E Gun Hill Rd","BX",10467,-73.8617006,"40.87516454","High School - Public"
"771","BRONX AEROSPACE HIGH SCHOOL","BRONX COMMUNITY DISTRICT 12","800 E Gun Hill Rd","BX",10467,-73.8617006,"40.87516454","High School - Public"
"772","BRONX CHARTER SCH BETTER LEARNING","BRONX COMMUNITY DISTRICT 12","3740 Baychester Ave Annex","BX",10466,-73.83933156,"40.88444008","Elementary School - Public Charter"
"773","BRONX CHARTER SCH-EXCELLENCE","BRONX COMMUNITY DISTRICT 9","1960 Benedict Ave","BX",10462,-73.85853737,"40.83402581","Elementary School - Public Charter"
"774","ICAHN CHARTER SCHOOL 2","BRONX COMMUNITY DISTRICT 11","1640 Bronxdale Ave","BX",10462,-73.85799715,"40.84501772","Elementary School - Public Charter"
"775","ICAHN CHARTER SCHOOL 3","BRONX COMMUNITY DISTRICT 11","1500 Pelham Pkwy S","BX",10461,-73.84299577,"40.85656448","Elementary School - Public Charter"
"776","ICAHN CHARTER SCHOOL 4","BRONX COMMUNITY DISTRICT 11","1500 Pelham Pkwy S","BX",10461,-73.84299577,"40.85656448","Elementary School - Public Charter"
"777","EQUALITY CHARTER SCHOOL","BRONX COMMUNITY DISTRICT 10","4140 Hutchinson River Pkwy","BX",10475,-73.82384202,"40.86405182","Middle School - Public Charter"
"778","ICAHN CHARTER SCHOOL 5","BRONX COMMUNITY DISTRICT 11","1500 Pelham Pkwy S","BX",10461,-73.84299577,"40.85656448","Elementary School - Public Charter"
"779","PS 6 WEST FARMS","BRONX COMMUNITY DISTRICT 6","1000 E Tremont Ave","BX",10460,-73.88260067,"40.84043702","Elementary School - Public"
"780","PS 44 DAVID C FARRAGUT","BRONX COMMUNITY DISTRICT 6","1825 Prospect Ave","BX",10457,-73.89109025,"40.84256426","Elementary School - Public"
"781","PS 47 JOHN RANDOLPH","BRONX COMMUNITY DISTRICT 9","1794 E 172 St","BX",10472,-73.86697118,"40.83253174","Elementary School - Public"
"782","PS 50 CLARA BARTON","BRONX COMMUNITY DISTRICT 3","1550 Vyse Ave","BX",10460,-73.88699515,"40.8341862","Elementary School - Public"
"783","PS 57 CRESCENT","BRONX COMMUNITY DISTRICT 6","2111 Crotona Ave","BX",10457,-73.88898008,"40.84875431","Elementary School - Public"
"784","PS 61 FRANCISCO OLLER","BRONX COMMUNITY DISTRICT 3","1550 Crotona Park E","BX",10460,-73.89273416,"40.83617611","Elementary School - Public"
"785","PS 66 SCHOOL OF HIGHER EXPECTATIONS","BRONX COMMUNITY DISTRICT 3","1001 Jennings St","BX",10460,-73.88654081,"40.83149045","Elementary School - Public"
"786","PS 67 MOHEGAN SCHOOL","BRONX COMMUNITY DISTRICT 6","2024 Mohegan Ave","BX",10460,-73.88419589,"40.84377894","Elementary School - Public"
"787","PS 92","BRONX COMMUNITY DISTRICT 6","700 E 179 St","BX",10457,-73.88961318,"40.84624077","Elementary School - Public"
"788","JHS 98 HERMAN RIDDER","BRONX COMMUNITY DISTRICT 3","1619 Boston Rd","BX",10460,-73.89059104,"40.83624546","Middle School - Public"
"789","PS 102 JOSEPH O LORETAN","BRONX COMMUNITY DISTRICT 9","1827 Archer St","BX",10460,-73.86605269,"40.83822596","Elementary School - Public"
"790","ACAD OF INDEPENDENT LRNING-LDERSHIP","BRONX COMMUNITY DISTRICT 6","2055 Mapes Ave","BX",10460,-73.88672186,"40.84612817","Middle School - Public"
"791","PS 134 GEORGE F BRISTOW","BRONX COMMUNITY DISTRICT 3","1330 Bristow St","BX",10459,-73.89425194,"40.83164599","Elementary School - Public"
"792","PS 150 CHARLES JAMES FOX","BRONX COMMUNITY DISTRICT 2","920 E 167 St","BX",10459,-73.89453648,"40.82539653","Elementary School - Public"
"793","ESMT-IS 190","BRONX COMMUNITY DISTRICT 3","1550 Crotona Park E","BX",10460,-73.89273416,"40.83617611","Middle School - Public"
"794","PS 195","BRONX COMMUNITY DISTRICT 9","1250 Ward Ave","BX",10472,-73.87730936,"40.83081129","Elementary School - Public"
